,bigram,counts
0,"('decentralized', 'finance')",5
1,"('smart', 'contract')",3
6,"('blockchain', 'system')",2
9,"('framework', 'stablecoin')",2
8,"('classification', 'framework')",2
7,"('distributed', 'ledger')",2
10,"('stablecoin', 'design')",2
5,"('blockchain', 'decentralization')",2
4,"('finance', 'defi')",2
3,"('finance', 'decentralized')",2
2,"('blockchain', 'era')",2
66,"('dag-based', 'blockchain')",1
75,"('pool', 'decentralized')",1
74,"('lending', 'pool')",1
73,"('ledger', 'lending')",1
72,"('across', 'distributed')",1
71,"('communication', 'across')",1
70,"('contract', 'communication')",1
69,"('confidential', 'smart')",1
68,"('tee-assisted', 'confidential')",1
67,"('system', 'tee-assisted')",1
61,"('blockchains', 'blockchain')",1
65,"('diving', 'dag-based')",1
64,"('client', 'diving')",1
63,"('light', 'client')",1
62,"('blockchain', 'light')",1
77,"('decentralized', 'exchange')",1
60,"('solution', 'blockchains')",1
59,"('scaling', 'solution')",1
58,"('bridge', 'scaling')",1
57,"('validating', 'bridge')",1
76,"('defi', 'decentralized')",1
82,"('maker', 'amm')",1
78,"('exchange', 'dex')",1
79,"('dex', 'automated')",1
98,"('blockchain', 'future')",1
97,"('metaverse', 'blockchain')",1
96,"('blockchain', 'metaverse')",1
95,"('system', 'blockchain')",1
94,"('e-voting', 'system')",1
93,"('based', 'e-voting')",1
92,"('blockchain', 'based')",1
91,"('challenge', 'blockchain')",1
90,"('applications,', 'challenge')",1
89,"('survey,', 'applications,')",1
88,"('model', 'survey,')",1
87,"('auction', 'model')",1
86,"('meet', 'auction')",1
85,"('blockchain', 'meet')",1
84,"('protocol', 'blockchain')",1
83,"('amm', 'protocol')",1
55,"('sharding', 'blockchain')",1
81,"('market', 'maker')",1
80,"('automated', 'market')",1
56,"('blockchain', 'validating')",1
50,"('approach', 'blockchain')",1
54,"('protocol', 'sharding')",1
53,"('blockchain', 'protocol')",1
29,"('transparent', 'dishonesty')",1
28,"('system', 'transparent')",1
27,"('payment', 'system')",1
26,"('distributed', 'payment')",1
25,"('accountability', 'distributed')",1
24,"('auditability', 'accountability')",1
23,"('blockchains', 'auditability')",1
22,"('age', 'blockchains')",1
21,"('consensus', 'age')",1
20,"('bft', 'consensus')",1
19,"('understanding', 'bft')",1
18,"('cryptocurrencies', 'understanding')",1
17,"('bitcoin', 'cryptocurrencies')",1
16,"('challenge', 'bitcoin')",1
15,"('perspective', 'challenge')",1
14,"('research', 'perspective')",1
13,"('era', 'research')",1
12,"('computing', 'blockchain')",1
11,"('privacy-preserving', 'computing')",1
30,"('dishonesty', 'front-running')",1
31,"('front-running', 'attack')",1
32,"('attack', 'blockchain')",1
43,"('manipulation', 'decentralized')",1
52,"('layer-two', 'blockchain')",1
51,"('decentralization', 'layer-two')",1
49,"('stratified', 'approach')",1
48,"('decentralization', 'stratified')",1
47,"('governance', 'blockchain')",1
46,"('blockchain', 'governance')",1
45,"('incident', 'blockchain')",1
44,"('defi', 'incident')",1
42,"('reordering', 'manipulation')",1
33,"('blockchain', 'mitigation')",1
41,"('transaction', 'reordering')",1
40,"('preventing', 'transaction')",1
39,"('blockchain', 'preventing')",1
38,"('cryptography', 'blockchain')",1
37,"('used', 'cryptography')",1
36,"('finance', 'used')",1
35,"('front-running', 'decentralized')",1
34,"('mitigation', 'front-running')",1
99,"('future', 'internet')",1
